name,logo,url,job_html_text
Binaris,https://res.cloudinary.com/serverlessdaystlv/image/upload/v1522843555/binaris-logo.svg,https://www.binaris.com/,blah
Puresec,https://res.cloudinary.com/serverlessdaystlv/image/upload/v1522842921/Puresec_H.png,,
